,text_stem,topic
0,украинск боксер александр усик рассказа рассматрива возможн проведен бо британц тон бел гот перейт вес сообща корреспондент лент ру слыша тон бел хотел сраз победител бо тяжел вес недавн очен красив побед дэвид хэ дума начина гот хочет опуска вес подним — сказа боксер отмет нужн взвес хочет куша рис макарон хорош денежн бо текущ вес гасс очеред назва сво проигрыш отличн опыт позвол увидет сво слаб сторон верн намн сильн — пообеща июл усик единогласн решен суд выигра поединок раунд прот россиянин мурат гассиев украинец стал победител всемирн боксерск суперсер такж обладател четырех чемпионск пояс верс международн боксерск федерац ibf всемирн боксерск ассоциац wba всемирн боксерск организац wbo всемирн боксерск совет wbc,Спорт
1,лондонск челс отказа прода мадридск реал полузащитник эд азар сообща mirror информац издан королевск клуб предлага футболист ставш бронзов призер чемпионат мир состав сборн бельг миллион фунт примерн миллион евр однак услов реа отвергнут — нов главн тренер лондонц мауриц сарр хочет отпуска игрок азар — лучш игрок европ над смог сдела эт сложн — достиг очен высок уровн — заяв сарр отмеча челс намер предлож хавбек улучшен контракт нем зарплат азар состав тысяч фунт примерн тысяч евр недел летн азар выступа челс год состав аристократ бельгиец стал двукратн чемпион англ победител лиг европ,Спорт
2,виц президент федерац профессиональн бокс росс андр рябинск прокомментирова заявлен президент украин петр порошенк котор сдела бо россиянин мурат гассиев украинц александр усик написа сво микроблог twitter доста перевод политик идиотизм — возмут поединок законч побед украинц очк порошенк посчита побед спортсм символ борьб украин секунд сомнева саш побед украинск гимн котор прозвуча сегодн москв ве мир — эт символ наш борьб приближен наш побед украин горд тоб — объяв усик стал победител всемирн боксерск суперсер такж обладател четырех чемпионск пояс верс международн боксерск федерац ibf всемирн боксерск ассоциац wba всемирн боксерск организац wbo всемирн боксерск совет wbc,Спорт
3,талисма олимпийск паралимпийск игр ток год получ им сообща сайт оргкомитет игр талисма олимпийск игр ток выбра им мирайтов он основа японск слов мира будущ тов вечност эт существ син бел клетк повторя узор эмблем токийск игр символ паралимпиад станет похож бел розов существ имен сомэйт — назван популярн сорт сакур том созвучн английск so mighty могуч сам талисма представл публик феврал выбира младшеклассник все япон олимпийск игр пройдут ток июл август паралимпиад — август сентябр год,Спорт
4,президент украин петр порошенк поздрав боксер александр усик побед бо прот россиянин мурат гассиев написа сво twitter секунд сомнева саш побед украинск гимн котор прозвуча сегодн москв ве мир — эт символ наш борьб приближен наш побед украин горд тоб поздравля побед чемпион — написа сраз объявлен решен суд ран июл усик единогласн решен суд выигра поединок раунд украинец стал победител всемирн боксерск суперсер такж обладател четырех чемпионск пояс верс международн боксерск федерац ibf всемирн боксерск ассоциац wba всемирн боксерск организац wbo всемирн боксерск совет wbc,Спорт
5,российск боксер мурат гасс проигра украинц александр усик финал всемирн боксерск суперсер сообща корреспондент лент ру поединок прошел вечер суббот июл москв продл раунд решен суд побед одержа усик так образ украинец стал победител всемирн боксерск суперсер такж обладател четырех чемпионск пояс верс международн боксерск федерац ibf всемирн боксерск ассоциац wba всемирн боксерск организац wbo всемирн боксерск совет wbc усик карьер провел поединк выигра кажд счет украинц побед нокаут гасс потерпел перв поражен поединк побед гасс одержа нокаут,Спорт
6,российск боксер мурат гасс подвел итог фина всемирн боксерск суперсер wbss прот украинц александр усик слов привод корреспондент лент ру отличн бо отличн оп хоч поздрав команд саш усик замечательн продела работ чувств разниц соперник больш любительск школ усик намн бо увидел слаб сторон — буд работа улучшен верн намн сильн — заяв гасс такж рассказа план поединок знал двига нанос удар сер лиша пространств дава работа сегодн действова намн результат — побед — подытож боксер июл москв состоя фина wbss бо продл раунд единогласн решен суд побед усик летн спортсм объедин пояс стал абсолютн чемпион мир верс международн боксерск федерац ibf всемирн боксерск ассоциац wba всемирн боксерск организац wbo всемирн боксерск совет wbc кром усик выигра троф имен мохаммед ал усик одержа ю побед карьер раз проигрыва гасс потерпел перв поражен профессиональн ринг актив побед,Спорт
7,напада сборн франц футбол килиа мбапп доигрыва чемпионат мир год травм позвоночник сообща l ’ equipe информац издан форвард повред спин полуфинальн матч национальн команд бельг мбапп шел душ соверш неосторожн движен результат футболист оказа защемл позвонк спортсм почувствова сильн бол отмеча благодар работ врач сборн франц мбапп смог приня участ последн двух матч чм июл fourfourtweet сообщ мбапп отказа денег заработа состав национальн команд чм переда благотворительн сборн франц стал победител чемпионат мир обыгра финал команд хорват мбапп стал автор одн гол миров первенств летн напада заб четыр мяч призна лучш молод игрок турнир,Спорт
8,окол нигерийск болельщик пострада мошенник смогл улетет родин отправ дом московск аэропорт домодедов сообща чемпионат com отмеча фанат недел жил хостел счет консульств нигер ед покупа активист эт нам продолжа приход так оста нигерийск безбилетник — рассказа координатор обществен движен прот торговл людьм альтернатив болельщик обманул родин мошенник оформ прода fan id завер так паспорт смогут найт работ росс врем чемпионат мир футбол выясн солга фанат смогл улетет обратн нигер депортирова могут паспорт болельщик иностранц наход росс июл переда коммерсант сборн нигер игра групп d трех матч отбор дважд проигра одержа побед позвол пройт след этап,Спорт
9,президент сша дональд трамп призва дисквалифицирова игрок национальн футбольн лиг нфл американск футбол неуважительн отношен американск символик написа сво аккаунт twitter дискусс повод национальн гимн врем игр нфл продолжа мог эт повер неужел регламент сказа игрок должн стоя полож рук сердц комиссионер лиг котор зарабатыва миллион доллар долж сдела заявлен перв нарушен — дисквалификац игр втор — дисквалификац сезон лишен заработн плат — возмут трамп реч идет акц протест врем исполнен национальн гимн игрок станов одн кол так образ привлек вниман проблем чернокож населен сша особен част так поведен стал американск лидер назва подобн поведен неуважен символ стран проблем вставан одн кол имеет отношен расов проблем реч идет неуважен наш стран флаг гимн — отмеча трамп год назад ма нфл запрет игрок встава одн кол однак профсоюз игрок соглас эт решен,Спорт
10,украинск футболист георг цитаишв подверг критик facebook празднован забит мяч стил напада сборн росс артем дзюб матч юношеск чемпионат европ прот команд франц цитаишв откр счет встреч отда чест трибун зна сказать… украинц цитаишв эталон футболист — дзюб бельгиец кевин де брейн хорват лук модрич француз килиа мбапп котор лиш год старш цитаишв чемпион мир лидер взросл сборн украинц цитаишв дзюб ближ родн мил — написа журналист константин андрияк цитаишв ответ критик instagram может критикова может писа плох личн понима врод отда выигра лиш пообсужда созда шумих матч заверш побед украинск сборн счет,Спорт
11,лондонск челс рассматрива кандидатур полузащитник ювентус миралем пьянич качеств альтернатив игрок цска александр головин сообща сайт журналист альфред педулл информац источник итальянск клуб соглас отпуст боснийск футболист миллион евр поэт челс отказа покупк российск полузащитник июл сообща монак предлож миллион евр головин переб предложен челс имен лондонск клуб называ главн претендент россиянин итальянск специалист мауриц сарр ран тренирова напол интересова головин бытност работ итальянск клуб трансферн стоимост головин чемпионат мир выросл миллион достигл отметк миллион евр оценк порта transfermarkt com дошел сборн четвертьфина четырех игр записа сво счет гол две результативн передач сборн босн герцеговин котор выступа пьянич участвова мундиал игра ювентус год защища цвет ром,Спорт
12,напада сборн бразил пар сен жерм неймар ответ критикова симуляц слов футболист привод sky sports дума хоч страда удар постоя эт больн игр час четыр пят сиж льдом эт сложн так испытыва поймет видел шутк повод мо паден отнес юмор вчер опубликова instagram шутк детьм — рассказа неймар такж объясн игра сво футбол использу дриблинг мог встат соперник сказа извин гол заб долж обвест попыта останов сфол част оказыва быстр соперник поэт бьют рефер должн видет эт — заяв бразилец чемпионат мир росс неймар критикова постоя симуляц издан rts sport подсчита четыр игр пролежа газон минут секунд поведен пол стал повод многочислен шуток youtube появ виде котор дет вдохновлен неймар массов пада пол изобража сильн бол португальск служб экстрен помощ inem помест фотограф страда бразильц плакат ложн вызов врач мундиал сборн бразил дошл четвертьфина проигра бельг — чемпион мир стал француз,Спорт
13,новост особняк минск миллион доллар предложен нов председател правлен брестск динам ди марадон оказа фейк столиц белорусс жил цен сообща местн порта tut by сам дорог дом котор сегодн наш баз предлага миллион доллар рекламир слыша лиш одн сделк минск дом прода миллион доллар эт наверн потолок — рассказа издан валер хованск заместител директор агентств недвижим сильва специализир элитн жил пресс секретар брестск динам ольг хижинков отмет дом марадон определ останов нескольк вариант брест окончательн пришл аргентинск источник основыва сво фантаз — поясн ран аргентинск сайт clarin сообщ марадон посел роскошн особняк минск сем комнат котор прилега аэродр частн самолет бывш футболист подписа контракт динам ма год согласн услов аргентинец сможет расторгнут соглашен клуб сумеет адаптирова местн климат,Спорт
14,защитник цска алекс васил березуцк объяв завершен карьер обращен футболист опубликова сайт клуб осозна пор начина нов этап жизн профессиональн спортсм непрост мног чувств момент эт врем пришл сегодн легк груст полн уверен сво решен объявля завершен карьер профессиональн футболист — заяв брат лет цска березуцк дво провел матч клуб цска стал неотъемлем част наш жизн буд поддержива красн син качеств болельщик стро нов молод команд становлен понадоб врем сомнева наш молодеж сможет достойн защища цвет велик клуб — завер спортсм поблагодар сопровожда длин нелегк потряса пут березуцк — шестикратн чемпион росс обладател кубк уеф общ сложност алекс провел состав цска матч котор заб мяч актив васил матч футболк московск клуб гол игр цска брат постоя вызыва сборн росс котор ушл год начал домашн чемпионат мир березуцк отказа вернут команд васил березуцк провел национальн команд матч отмет пят гол счет алексе игр состав сборн брат стал бронзов призер евр,Спорт
15,международн ассоциац легкоатлетическ федерац iaaf заподозр нарушен антидопингов прав российск спортсмен сообща тасс расследован начат рассмотрен дан доклад независим комисс всемирн антидопингов агентств wada руководств ричард маклар списк частност значат чемпион мир тройн прыжк люкма адамс олимпийск чемпион прыжк высот ива ух дел спортсмен ожида рассмотрен спортивн арбитражн суд cas попадан атлет список подозрева влечет прям отстранен участ соревнован пример ива ух котор идет разбирательств имеет прав выступа чемпионат росс налож времен отстранен — рассказа антидопингов координатор всероссийск федерац легк атлетик вфла ел иконников ноябр год iaaf приостанов членств вфла нарушен антидопингов прав сих пор восстанов российск атлет разреш выступлен международн старт нейтральн статус заявк россия участ турнир рассматрива индивидуальн порядк,Спорт
16,казахстанск город алм ат прошл гражданск панихид умерш призер олимпийск игр соч фигурист денис тен виде появ instagram талшын утепов церемон состоя дворц спорт имен балуа шолак прост фигурист пришл жител алм ат певц музыкант чиновник спортсм сообща издан tengri news такж траурн церемон присутствова казахстанск министр культур спорт арыстанбек мухамедиул сегодн казахста ве мир скорб потеря личност котор хотел сдела мир добр — заяв тен сконча июл возраст лет фигурист получ ранен бедр пыта останов неизвестн снима зерка автомобил центр алм ат спортсм тяжел состоян доставл больниц однак врач уда спаст — фигурист потеря литр кров тен год получ бронз олимпийск игр соч наград стал единствен медал сборн казахста эт игр,Спорт
17,главн тренер сборн герман йоах лев объясн как вывод сдела прова команд чемпионат мир год слов специалист привод сайт немецк футбольн союз разн аспект запас прочност продолж анализ особ важн момент котор выясн заключа отношен игр настроен нам нужн вернут ощущен радост весел страст связа игр сборн герман пол вне — заяв специалист сборн герман сумел выйт групп чемпионат мир предыдущ обладател кубк проигра последн матч команд южн кор лиш шанс выход пле офф сраз вылет лев заяв герман заслуж мест пле офф чемпионат мир тренер призна команд готов повтор успех четырехлетн давност игрок хват хладнокров реализац голев момент победител турнир стал команд франц финал обыгра сборн хорват счет,Спорт
18,чемпион абсолютн бойцовск чемпионат ufc россиянин хабиб нурмагомед рассказа гот провест поединок прот ирландц конор макгрегор сообща тасс две дат — октябр декабр ноябр дер макгрегор лиш лиценз сможет драт ноябрьск турнир нью йорк над бо октябр хоч затягива защит пояс заяв ufc дал люб соперник хот дадут друг бойц конор ноябр гот драт — заяв нурмагомед турнир ufc пройдет октябр лас вегас запланирова проведен ufc декабр макгрегор участвова проводим нью йорк турнир комисс штат лиш лиценз нападен автобус апрел ирландец сорва турнир ufc котор участвова нурмагомед вмест сообщник атакова автобус котор наход бойц участник соревнован числ россиянин поздн макгрегор добровольн сдал полиц нурмагомед провел бо профессиональн карьер потерпел одн поражен макгрегор — бывш чемпион ufc полулегк легк вес выигра бо трех поражен,Спорт
19,журналист ариэл сеносиа раскр дета разговор футболист сборн аргентин главн тренер команд хорх сампаол врем чемпионат мир год росс сообща ole слов журналист встреч футболист сампаол член тренерск штаб состоя матч группов раунд прот хорват котор команд проигра счет игрок сборн заяв понима требован тренер доверя хот высказыва собствен мнен люб вопрос включ тренировк соста команд поединк чм капита аргентинц лионел месс предъяв сампаол претенз постоя обраща нем совет спрашива ког хоч видет состав ког называ теб одн имен скаж называ теб как им — отмет месс июл сампаол покинул сборн аргентин аргентинск футбольн ассоциац тренер расторгл контракт обоюдн соглас чм аргентинц вышл групп втор мест проигра фина сборн франц счет,Спорт
20,задержа алм ат подозрен убийств фигурист денис тен призна содея сообщ прокурор город берик жуйрикта переда интерфакс задержа кияс нурал даулетбекович год рожден уроженец жамбылск област присутств адвокат дан признательн показан — рапортова ход брифинг расследован убийств наход контрол генеральн прокурор республик ран сообща задержан одн двух подозрева убийств бронзов призер зимн олимпийск игр соч втор преступник опозна провод мероприят задержан фигурист денис тен получ ранен бедр пыта останов неизвестн снима зерка автомобил спортсм доставл больниц однак врач уда спаст — фигурист потеря литр кров,Спорт
21,напада сборн уругв абел эрнандес потребова московск цска зарплат тысяч фунт недел окол миллион рубл сообща hull live так образ год контракт эрнандес хочет зарабатыва окол миллион фунт миллион рубл сво последн клуб английск халл сит форвард получа тысяч фунт недел миллион рубл июл агент игрок пабл бентакур заяв российск клуб клиент договор услов контракт приня предложен цска след недел абел лет москв подписа контракт — сообщ бентакур актив напада гол матч национальн команд эрнандес сумел попаст окончательн заявк уругв чемпионат мир росс состав халл сит уругваец провел игр заб мяч декабр год эрнандес работа руководств российск тренер леонид слуцк котор ран возглавля цска,Спорт
22,напада французск пар сен жерм неймар заяв покинет футбольн клуб летн трансферн окн слов бразильц привод goal com ссылк телекана fox sports остан контракт псж реш прим выз сдела заб гол измен сво мнен над успешн сезон журналист люб создава слух знают сильн волн псж — подчеркнул неймар бразильц связыва переход реа однак мадридск клуб отказа ид трансфер сосла прекрасн отношен парижан представител клуб такж указа хотел нача переговор псж представител игрок сообщен сми реа гот отда неймар миллион евр бразильск напада перешел псж барселон миллион евр текущ сезон актив неймар гол матч турнир чемпионат мир неймар состав сборн бразил дошел четвертьфина котор команд проигра бельг,Спорт
23,новичок испанск ла лиг уэск арендова вильярреа португальск защитник руб семед котор провел пят месяц тюрьм сообща as официальн заявлен клуб семед характериз скоростн вынослив футболист умеющ игра втор этаж однак проблем португальц закон умалчива семед обвин грабеж покушен убийств хранен огнестрельн оруж футболист уда довест дел суд семед достиг договорен правоохранительн орган призна вин летн защитник выступа состав вильярреа год чемпионат испан игрок провел четыр встреч футболист выступа португальск спортинг актив семед игр гол молодежн сборн португал,Спорт
24,бывш защитник сборн росс серг игнашевич рассказа instagram россиян уда справ напада сборн египт мохаммед салах матч группов этап чемпионат мир футбол сдержа салах позвол уверен игр юр жирков тактическ задан тренерск штаб котор огранич подключен юр атак — написа игнашевич отмет то игр россиян противостоя суперфорвард сборн росс обыгра египет втор тур группов этап мундиал счет единствен мяч египтя заб сал реализова пенальт й минут российск сборн дошл четвертьфина чм египет сумел попаст пле офф чемпионат летн игнашевич объяв окончательн завершен карьер сборн месяц старт миров первенств защитник реш возобнов выступлен национальн команд просьб главн тренер станислав черчесов,Спорт
25,москв прошл церемон взвешиван финал всемирн боксерск суперсер котор встрет россиянин мурат гасс украинец александр усик сообща корреспондент лент ру вес обо боксер оказа одинаков состав килограмм поединок пройдет июл спорткомплекс олимпийск спортсм поспор титул международн боксерск федерац ibf всемирн боксерск ассоциац wba котор владеет гасс такж пояс всемирн боксерск организац wbo всемирн боксерск совет wbc принадлежа усик июл гасс усик провел открыт тренировк россиянин продемонстрирова журналист болельщик нескольк упражнен украинец огранич позирован фотограф общен сми усик провел поединк выигра кажд счет украинц побед нокаут гасс такж потерпел одн поражен карьер россиянин провел поединк кажд котор заверш побед побед гасс одержа нокаут,Спорт
26,двух подозрева убийств фигурист денис тен задержа алмат минувш ноч сообща интерфакс ссылк городск полиц слов собеседник агентств личност втор подозрева установл провод мероприят задержан подозрева задержа водвор изолятор времен содержан отношен втор провод разыскн мероприят задержан — говор сообщен ран июл сообща бронзов призер зимн олимпийск игр соч казахстанск фигурист денис тен получ ранен бедр пыта останов неизвестн снима зерка автомобил спортсм доставл больниц однак врач уда спаст — фигурист потеря литр кров летн тен — бронзов призер олимпийск игр год актив серебр й бронз й чемпионат мир,Спорт
27,акц милиционер вступа игр организова активист pussy riot чемпионат мир футбол воспринима нек фишк фина интерв спорт экспресс рассказа генеральн директор оргкомитет росс алекс сорокин отмет случ крайн неприятн наш соотечественник уважен отнесл труд тысяч человек воспользова полицейск форм устро акц сторон воспринима эт нек фишк фина драматургическ поворот — сказа сорокин такж рассказа стюард котор останов активист примен дисциплинарн мер однак случа уникальн люд прост надел форм выросл уважен форм соглас стюард поступ непрофессиональн чрезмерн обвиня сто чересчур хитр оказа люд выбежа пол — добав гендиректор оргкомитет росс ран сообща активист pussy riot выбежа пол финальн матч чемпионат мир сборн франц хорват получ суток арест участник панк групп уда провест газон секунд встреч пришл прерва финальн матч мундиал прошедш июл москв стадион лужник сборн франц переигра команд хорват счет,Спорт
28,глав татарста руст миннихан попрос президент росс владимир путин разреш продава пив стадион сказа заседан госсовет физкультур спорт сообща пятниц июл р спорт слов минниханов врем проведен чемпионат мир футбол республик прода пен напитк миллион рубл никак эксцесс никак пробл прос посмотрет перв так мужчин люб пив стыдн говор мусульманин пив забоч наш брат православн — сказа президент татарста путин пообеща обсуд вопрос мусульман прос пив либеральн подойт посмотр — отмет глав государств запрет продаж пив стадион действ росс год однак последн нескольк лет чиновник ведут дискусс отмен норм,Спорт
29,президент международн олимпийск комитет мок томас бах заяв поддержк изменен российск спорт цитир р спорт росс подверж санкц напишут историческ книг олимпиад готов приня росс обратн поддержа те реформ котор провел провод — сказа бах пресс конференц итог заседан исполком мок лозан феврал стал известн мок восстанов членств олимпийск комитет росс окр результат проверок наш спортсмен показа чистот процедурн росс дела нужн восстановлен членств окр произошл автоматическ мок никак нарекан — заяв член мок шамил тарпищ членств окр мок приостановл декабр год итог расследован допингов махинац российск спорт отстран участ олимпийск игр национальн команд пхенчха отправ спортсм приглашен мок российск атлет выступа олимпийск флаг специальн статус олимпийск атлет росс,Спорт
30,напада сборн хорват никол калинич отказа принима серебрян медал чемпионат мир сообща kurir rs форвард отчисл состав национальн команд перв матч группов этап нигер отказа выход замен сосла проблем спин тренер златк далич отправ дом несмотр эт наставник партнер команд реш наград калинич однак заяв спасиб медал игра росс сборн хорват мундиал вперв истор вышл фина проигра франц — наивысш достижен команд трет мест год правил международн федерац футбол фиф команд призер чемпионат мир получа медал имен долж долж получ указыва калинич выступа хорватск сборн год момент форвард провел матч котор заб мяч,Спорт
31,жител алм ат арма кудайберген созна удар нож фигурист денис тен спортсм сконча сообща р спорт ссылк начальник департамент внутрен дел город серик кудеба последн задержа призна нанес ножев ранен — заяв кудеба ран июл задержа перв двух подозрева убийств спортсм — кияс нурал даулетбекович год рожден присутств адвокат дал признательн показан фигурист денис тен получ ранен бедр пыта останов неизвестн снима зерка автомобил центр алм ат спортсм тяжел состоян доставл больниц однак врач уда спаст — фигурист потеря литр кров летн тен — бронзов призер олимпийск игр год актив серебр й бронз й чемпионат мир,Спорт
32,главн тренер сборн росс станисла черчес назва матч сво команд хорват четвертьфинал чемпионат мир лучш турнир слов специалист привод сайт международн федерац футбол фиф черчес отвеч вопрос матч котор прав займет мест коллекц сам интриг безумн сценар заяв специальн стал говор показа нескромн сам сказали… мо эт лучш матч турнир накал содержан игр матч хорват стал последн сборн росс домашн мундиал основн дополнительн врем заверш счет сер пенальт соперник оказа точн — результат хорват дошл фина уступ команд франц — чемпионат мир проход июн июл город росс,Спорт
33,французск монак предлож московск цска миллион евр полузащитник александр головин пятниц июл сообща le sport com армейц оцен стоимост летн футболист миллион евр француз реш увелич предложен информац издан трансфер состоя ближайш врем конц июн сообща главн претендент головин явля лондонск челс английск клуб гот отда хавбек сумм близк то котор потребова цска назначен главн тренер лондонц мауриц сарр слух возможн переход россиянин усил итальянск специалист интересова головин бытност работ напол порта transfermarkt com оценива стоимост головин миллион евр прошедш росс чемпионат мир цен футболист возросл миллион евр вмест сборн росс головин дошел фина мундиал национальн команд сер пенальт уступ хорват полузащитник провел чм четыр матч котор записа сво счет гол две результативн передач,Спорт
34,спортивн арбитражн суд cas отмен решен отстранен итальянск футбольн клуб мила участ еврокубк сообща сайт суд клуб пода апелляц решен союз европейск футбольн ассоциац уеф котор дисквалифицирова год нарушен прав финансов fair play cas выслуша довод итальянск сторон рассужден соблюден прав интер псж манчестер сит реш вернут мила лиг европ июн сообща россонер наруш услов безубыточн котор явля основн финансов fair play уеф отстран год участ еврокубк такж сообща милан помим дисквалификац гроз штраф размер миллион евр сезон клуб заня шест мест сер,Спорт
